method,score,threshold,coverage,selective_accuracy,selective_macro_f1
embedding_distance,embedding_distance,4.440389355142252,0.38961038961038963,0.4666666666666667,0.3181818181818182
embedding_distance,embedding_distance,4.454478499173586,0.3961038961038961,0.45901639344262296,0.3146067415730337
embedding_distance,embedding_distance,4.4586505263587375,0.4025974025974026,0.46774193548387094,0.31868131868131866
embedding_distance,embedding_distance,4.500007342157932,0.4090909090909091,0.4603174603174603,0.31521739130434784
embedding_distance,embedding_distance,4.546706123285659,0.4155844155844156,0.46875,0.3191489361702128
embedding_distance,embedding_distance,4.627905367182532,0.42207792207792205,0.47692307692307695,0.3229166666666667
embedding_distance,embedding_distance,4.634752449916637,0.42857142857142855,0.4696969696969697,0.2152777777777778
embedding_distance,embedding_distance,4.6849242849243655,0.43506493506493504,0.4626865671641791,0.21305841924398625
embedding_distance,embedding_distance,4.732530903265717,0.44155844155844154,0.45588235294117646,0.2108843537414966
embedding_distance,embedding_distance,4.756547246739917,0.44805194805194803,0.463768115942029,0.21333333333333335
embedding_distance,embedding_distance,4.776601600182818,0.45454545454545453,0.4714285714285714,0.21568627450980393
embedding_distance,embedding_distance,4.799565018755834,0.461038961038961,0.4647887323943662,0.21359223300970875
embedding_distance,embedding_distance,4.8077528334689665,0.4675324675324675,0.4722222222222222,0.21587301587301588
embedding_distance,embedding_distance,4.81408863306419,0.474025974025974,0.4794520547945205,0.21806853582554517
embedding_distance,embedding_distance,4.818080791353304,0.4805194805194805,0.47297297297297297,0.21604938271604937
embedding_distance,embedding_distance,4.8589003210303865,0.487012987012987,0.4666666666666667,0.21406727828746178
embedding_distance,embedding_distance,4.911812985159443,0.4935064935064935,0.4605263157894737,0.21212121212121213
embedding_distance,embedding_distance,4.9384704784990205,0.5,0.45454545454545453,0.21021021021021022
embedding_distance,embedding_distance,4.984433612648326,0.5064935064935064,0.46153846153846156,0.21238938053097345
embedding_distance,embedding_distance,5.011272297679786,0.512987012987013,0.46835443037974683,0.2144927536231884
embedding_distance,embedding_distance,5.055612205070066,0.5194805194805194,0.475,0.21652421652421652
embedding_distance,embedding_distance,5.1065682972440625,0.525974025974026,0.48148148148148145,0.2184873949579832
embedding_distance,embedding_distance,5.170491565665963,0.5324675324675324,0.47560975609756095,0.21666666666666667
embedding_distance,embedding_distance,5.2055498014489485,0.538961038961039,0.4819277108433735,0.2185792349726776
embedding_distance,embedding_distance,5.210438039563726,0.5454545454545454,0.4880952380952381,0.22043010752688172
embedding_distance,embedding_distance,5.220150254628627,0.551948051948052,0.49411764705882355,0.2222222222222222
embedding_distance,embedding_distance,5.305743419609578,0.5584415584415584,0.5,0.22395833333333334
embedding_distance,embedding_distance,5.321420586516707,0.564935064935065,0.5057471264367817,0.22564102564102564
embedding_distance,embedding_distance,5.346889724096151,0.5714285714285714,0.5,0.22391857506361323
embedding_distance,embedding_distance,5.380313069720038,0.577922077922078,0.4943820224719101,0.2222222222222222
embedding_distance,embedding_distance,5.401542275733498,0.5844155844155844,0.5,0.22388059701492538
embedding_distance,embedding_distance,5.530085130270046,0.5909090909090909,0.5054945054945055,0.22549019607843138
embedding_distance,embedding_distance,5.589210191981433,0.5974025974025974,0.5108695652173914,0.22705314009661837
embedding_distance,embedding_distance,5.645564755735373,0.6038961038961039,0.5161290322580645,0.22857142857142856
embedding_distance,embedding_distance,5.661060097303526,0.6103896103896104,0.5212765957446809,0.2300469483568075
