split,threshold,precision,recall
test,0.03154344856739044,0.547945205479452,1.0
test,0.03171253949403763,0.5555555555555556,1.0
test,0.03190651535987854,0.5633802816901409,1.0
test,0.03191141039133072,0.5714285714285714,1.0
test,0.03223123401403427,0.5797101449275363,1.0
test,0.03268206864595413,0.5882352941176471,1.0
test,0.032730910927057266,0.5970149253731343,1.0
test,0.03282099589705467,0.6060606060606061,1.0
test,0.033649347722530365,0.6153846153846154,1.0
test,0.033718664199113846,0.625,1.0
test,0.03381158784031868,0.6349206349206349,1.0
test,0.0339929461479187,0.6451612903225806,1.0
test,0.03405415266752243,0.6557377049180327,1.0
test,0.034137383103370667,0.6666666666666666,1.0
test,0.034200798720121384,0.6779661016949152,1.0
test,0.03428440913558006,0.6896551724137931,1.0
test,0.03464636206626892,0.7017543859649122,1.0
test,0.03473486378788948,0.7142857142857143,1.0
test,0.03525720536708832,0.7272727272727273,1.0
test,0.03539833053946495,0.7407407407407407,1.0
test,0.03642355650663376,0.7547169811320755,1.0
test,0.03689337894320488,0.7692307692307693,1.0
test,0.037884801626205444,0.7843137254901961,1.0
test,0.03837168216705322,0.8,1.0
test,0.03927436098456383,0.8163265306122449,1.0
test,0.03960734233260155,0.8333333333333334,1.0
test,0.039862263947725296,0.851063829787234,1.0
test,0.039949920028448105,0.8695652173913043,1.0
test,0.04045187681913376,0.8888888888888888,1.0
test,0.040770381689071655,0.9090909090909091,1.0
test,0.0424664244055748,0.9302325581395349,1.0
test,0.04420555382966995,0.9523809523809523,1.0
test,0.04665137082338333,0.975609756097561,1.0
test,0.047582387924194336,0.975,0.975
test,0.050010085105895996,1.0,0.975
test,0.05084594339132309,1.0,0.95
test,0.051184412091970444,1.0,0.925
test,0.0526992566883564,1.0,0.9
test,0.059975020587444305,1.0,0.875
test,0.06151791661977768,1.0,0.85
test,0.06222013384103775,1.0,0.825
test,0.0638401061296463,1.0,0.8
test,0.06529974192380905,1.0,0.775
test,0.06560230255126953,1.0,0.75
test,0.0692487359046936,1.0,0.725
test,0.07029277086257935,1.0,0.7
test,0.0728360190987587,1.0,0.675
test,0.07293998450040817,1.0,0.65
test,0.07425267994403839,1.0,0.625
test,0.07719013839960098,1.0,0.6
test,0.08240237087011337,1.0,0.575
test,0.08329989016056061,1.0,0.55
test,0.08470873534679413,1.0,0.525
test,0.08714377880096436,1.0,0.5
test,0.08756083250045776,1.0,0.475
test,0.08804542571306229,1.0,0.45
test,0.08900604397058487,1.0,0.425
test,0.09444966167211533,1.0,0.4
test,0.09567403793334961,1.0,0.375
test,0.10515391081571579,1.0,0.35
test,0.10847815126180649,1.0,0.325
test,0.11218198388814926,1.0,0.3
test,0.11320547014474869,1.0,0.275
test,0.1141120046377182,1.0,0.25
test,0.12554043531417847,1.0,0.225
test,0.1344282180070877,1.0,0.2
test,0.13584353029727936,1.0,0.175
test,0.14180143177509308,1.0,0.15
test,0.1566862165927887,1.0,0.125
test,0.17076793313026428,1.0,0.1
test,0.1724684238433838,1.0,0.075
test,0.19096113741397858,1.0,0.05
test,0.24732330441474915,1.0,0.025
test,,1.0,0.0
